year,aerogel
1850,0.0036
1851,0.002508333
1852,0.001441667
1853,0.000616667
1854,0.000283333
1855,0.002033333
1856,0.038658333
1857,0.060166667
1858,0.029
1859,0.011183333
1860,0.004591667
1861,0.003408333
1862,0.013658333
1863,0.010016667
1864,0.004633333
1865,0.002
1866,0.000825
1867,0.000366667
1868,0.000208333
1869,0.0006
1870,0.000608333
1871,0.000591667
1872,0.001316667
1873,0.003008333
1874,0.001958333
1875,0.001291667
1876,0.0062
1877,0.005266667
1878,0.003158333
1879,0.002
1880,0.001141667
1881,0.000666667
1882,0.000575
1883,0.047291667
1884,0.142908333
1885,0.063491667
1886,0.036433333
1887,0.037108333
1888,0.021858333
1889,0.028533333
1890,0.039125
1891,0.029975
1892,0.021658333
1893,0.009441667
1894,0.003533333
1895,0.001366667
1896,0.018283333
1897,0.016858333
1898,0.012116667
1899,0.004558333
1900,0.001758333
1901,0.000741667
1902,0.0202
1903,0.071516667
1904,0.031791667
1905,0.012575
1906,0.00725
1907,0.0092
1908,0.010275
1909,0.004008333
1910,0.003125
1911,0.001675
1912,0.0193
1913,0.024083333
1914,0.009916667
1915,0.003941667
1916,0.002741667
1917,0.002225
1918,0.00195
1919,0.002008333
1920,0.009358333
1921,0.007658333
1922,0.002891667
1923,0.001116667
1924,0.003408333
1925,0.002858333
1926,0.002341667
1927,0.001508333
1928,0.00525
1929,0.009825
1930,0.006208333
1931,0.0047
1932,0.008241667
1933,0.006675
1934,0.0038
1935,0.004233333
1936,0.003258333
1937,0.002816667
1938,0.004908333
1939,0.0041
1940,0.003191667
1941,0.001941667
1942,0.0042
1943,0.004375
1944,0.00235
1945,0.002216667
1946,0.001816667
1947,0.002283333
1948,0.001708333
1949,0.003266667
1950,0.002866667
1951,0.001975
1952,0.003675
1953,0.003391667
1954,0.003608333
1955,0.0018
1956,0.001133333
1957,0.000516667
1958,0.00025
1959,0.0002
1960,0.004616667
1961,0.010775
1962,0.01325
1963,0.045966667
1964,0.071691667
1965,0.043183333
1966,0.023233333
1967,0.0145
1968,0.027408333
1969,0.0344
1970,0.016566667
1971,0.006483333
1972,0.003925
1973,0.007791667
1974,0.012708333
1975,0.030125
1976,0.013625
1977,0.005091667
1978,0.007541667
1979,0.009166667
1980,0.0047
1981,0.004991667
1982,0.052525
1983,0.075241667
1984,0.030158333
1985,0.012633333
1986,0.013566667
1987,0.010333333
1988,0.007608333
1989,0.006141667
1990,0.006133333
1991,0.053916667
1992,0.121141667
1993,0.049
1994,0.01995
1995,0.009633333
1996,0.0065
1997,0.005216667
1998,0.0028
1999,0.002116667
2000,0.0021
2001,0.002108333
2002,0.002091667
2003,0.0027
2004,0.002425
2005,0.003433333
2006,0.003858333
2007,0.00435
2008,0.003791667
2009,0.004675
2010,0.003566667
2011,0.004925
2012,0.003733333
2013,0.003223
2014,0.003001
2015,0.006027
2016,0.007194
2017,0.005725
2018,0.005294
2019,0.00892
2020,0.0115
2021,0.00942
2022,0.0103
