year,TSI,CH4 Spline (ppb),CO2 Spline (ppm),N2O Spline (ppb),aerosol,avg_temp,up,low,error_up,error_low,t_up,t_low
1751,1361.3138,696.4,276.8,271.5,0.0023,,,,,,,
1752,1361.0908,696.2,276.8,271.8,0.0069,,,,,,,
1753,1360.9975,696.3,276.8,272.2,0.0452,,,,,,,
1754,1360.7565,696.5,276.7,272.5,0.0364,,,,,,,
1755,1360.6562,696.8,276.7,272.8,0.0285,,,,,,,
1756,1360.6671,697.2,276.6,273.1,0.0055,,,,,,,
1757,1360.7414,697.7,276.6,273.4,0.013,,,,,,,
1758,1361.0029,698.4,276.6,273.7,0.0144,,,,,,,
1759,1361.0753,699.1,276.5,273.9,0.0066,,,,,,,
1760,1361.2069,700,276.5,274.1,0.0059,,,,,,,
1761,1361.2972,701,276.5,274.2,0.0023,,,,,,,
1762,1361.265,702.1,276.5,274.3,0.0084,10.53,11.67342466,-11.12657534,1.301314587,-1.301314587,2.918356165,-2.781643835
1763,1361.1508,703.3,276.5,274.3,0.0293,10.39,10.79125683,-9.208743169,1.211931255,-1.211931255,2.697814208,-2.302185792
1764,1361.093,704.7,276.6,274.2,0.0284,10.99,9.321643836,-10.79835616,1.180223316,-1.180223316,2.330410959,-2.69958904
1765,1360.9598,706.3,276.6,274.2,0.0218,10.72,10.74986301,-12.33013699,1.365185367,-1.365185367,2.687465753,-3.082534248
1766,1360.9442,707.8,276.7,274.1,0.0108,10.5,12.33054795,-12.70945205,1.402277139,-1.402277139,3.082636988,-3.177363013
1767,1361.0685,709.5,276.9,274,0.019,10.69,11.75177596,-12.24822404,1.377340761,-1.377340761,2.93794399,-3.06205601
1768,1361.342,711.1,277,273.9,0.0253,11.22,10.71369863,-10.54630137,1.274757306,-1.274757306,2.678424658,-2.636575343
1769,1361.5476,712.6,277.1,273.8,0.0189,11.1,10.2830137,-11.5569863,1.305959256,-1.305959256,2.570753425,-2.889246575
1770,1361.753,714.1,277.3,273.7,0.0098,10.96,10.73479452,-10.12520548,1.29964386,-1.29964386,2.68369863,-2.53130137
1771,1361.5262,715.4,277.4,273.6,0.0118,11.15,10.14289617,-10.60710383,1.192032315,-1.192032315,2.535724043,-2.651775958
1772,1361.3462,716.6,277.6,273.5,0.0102,11.39,9.043150685,-10.01684932,1.188589137,-1.188589137,2.260787671,-2.50421233
1773,1361.0441,717.5,277.7,273.3,0.0059,10.9,11.45150685,-12.12849315,1.397998485,-1.397998485,2.862876713,-3.032123288
1774,1360.9785,718.2,277.8,273.2,0.0048,10.46,10.70993151,-10.45006849,0.927730038,-0.927730038,2.677482878,-2.612517123
1775,1360.9037,718.6,278,273.1,0.0022,11.01,11.66801913,-10.67198087,0.992535744,-0.992535744,2.917004783,-2.667995218
1776,1361.0832,718.7,278.1,272.9,0.0027,10.61352498,10.7969863,-11.4030137,0.942249024,-0.942249024,2.699246575,-2.850753425
1777,1361.3949,718.6,278.1,272.8,0.0047,10.4490641,11.09924138,-10.57075862,0.898855752,-0.898855752,2.774810345,-2.642689655
1778,1362.0953,718.4,278.2,272.7,0.0065,10.55,9.905531915,-10.29446809,0.910210791,-0.910210791,2.476382979,-2.573617023
1779,1362.2204,718.2,278.2,272.5,0.0042,11.45,11.79242091,-11.67757909,0.993764847,-0.993764847,2.948105228,-2.919394773
1780,1362.022,718.2,278.2,272.4,0.0021,10.9001159,11.73648276,-10.75351724,0.974829528,-0.974829528,2.93412069,-2.68837931
1781,1361.7243,718.3,278.1,272.3,0.0182,10.78,12.74255172,-11.50744828,1.036778748,-1.036778748,3.18563793,-2.87686207
1782,1361.419,718.7,278.2,272.2,0.05,10.50565263,10.78109589,-11.71890411,0.956001048,-0.956001048,2.695273973,-2.929726028
1783,1361.211,719.1,278.3,272.1,0.0958,11.49,13.17491803,-12.51508197,1.137634401,-1.137634401,3.293729508,-3.128770493
1784,1361.0623,719.6,278.4,272,0.0747,10.49121493,12.82191781,-11.69308219,1.071781908,-1.071781908,3.205479453,-2.923270548
1785,1361.1109,719.8,278.6,271.9,0.0418,10.37677227,12.14335616,-10.72164384,0.968331465,-0.968331465,3.03583904,-2.68041096
1786,1361.3189,719.8,278.9,271.8,0.0261,9.929919675,11.30821918,-11.44678082,0.950082381,-0.950082381,2.827054795,-2.861695205
1787,1361.7002,719.6,279.1,271.8,0.0113,10.74,11.87749656,-12.13250344,1.067591286,-1.067591286,2.96937414,-3.03312586
1788,1361.9834,719.2,279.4,271.8,0.0055,11.06,11.18226027,-11.52773973,1.026948099,-1.026948099,2.795565068,-2.881934933
1789,1361.8635,718.8,279.7,271.8,0.0043,11.04,10.82157534,-10.58842466,0.883020723,-0.883020723,2.705393835,-2.647106165
1790,1361.8095,718.3,280,271.8,0.0026,11.69,11.01340278,-9.941597222,0.876449706,-0.876449706,2.753350695,-2.485399306
1791,1361.5348,717.9,280.3,271.8,0.0036,11.63,10.82178962,-11.57321038,0.93930819,-0.93930819,2.705447405,-2.893302595
1792,1361.3774,717.7,280.6,271.8,0.0039,10.85,11.28157534,-10.52342466,0.942319344,-0.942319344,2.820393835,-2.630856165
1793,1361.238,717.6,280.9,271.9,0.0026,11.02,10.52903448,-10.87096552,0.865199652,-0.865199652,2.63225862,-2.71774138
1794,1361.0443,717.9,281.2,272,0.0041,11.66,10.78452545,-12.49547455,1.026655026,-1.026655026,2.696131363,-3.123868638
1795,1360.9135,718.4,281.4,272.1,0.0107,11.32932437,10.83143836,-10.41856164,0.916385049,-0.916385049,2.70785959,-2.60464041
1796,1360.7445,719.4,281.7,272.2,0.0112,11.68081356,11.00664384,-10.35335616,0.9209094,-0.9209094,2.75166096,-2.58833904
1797,1360.5997,720.7,281.9,272.4,0.0097,11.25,11.69431507,-11.41068493,1.008913023,-1.008913023,2.923578768,-2.852671233
1798,1360.5179,722.6,282.1,272.5,0.0063,9.88,11.40650685,-12.94849315,1.096072749,-1.096072749,2.851626713,-3.237123288
1799,1360.5389,724.6,282.4,272.5,0.0153,10.2,10.51055172,-11.40944828,0.967434135,-0.967434135,2.62763793,-2.85236207
1800,1360.5496,726.6,282.6,272.6,0.0101,10.74,9.788356164,-10.96664384,0.862594695,-0.862594695,2.447089041,-2.74166096
1801,1360.7116,728.5,282.8,272.5,0.0073,11.21,11.82184932,-11.00315068,0.970637697,-0.970637697,2.95546233,-2.75078767
1802,1360.8725,730,283,272.5,0.0058,11.18,12.13386207,-11.74613793,1.004143539,-1.004143539,3.033465518,-2.936534483
1803,1360.8982,731.3,283.2,272.4,0.0119,11.15369905,11.34044017,-11.39955983,0.986070477,-0.986070477,2.835110043,-2.849889958
1804,1360.922,732.3,283.4,272.2,0.011,11.38,11.75335616,-10.74664384,0.995292141,-0.995292141,2.93833904,-2.68666096
1805,1360.9842,733.2,283.6,272.1,0.0048,10.5,9.592808219,-9.112191781,0.82010079,-0.82010079,2.398202055,-2.278047945
1806,1360.8822,733.8,283.7,271.9,0.0016,11.67,12.23634483,-11.11365517,0.980387832,-0.980387832,3.059086208,-2.778413793
1807,1360.7678,734.4,283.9,271.8,0.0248,11.67,12.6745082,-12.0704918,1.093529808,-1.093529808,3.16862705,-3.01762295
1808,1360.6554,734.8,284,271.6,0.1083,10.49540825,10.90376712,-10.01123288,0.933286077,-0.933286077,2.72594178,-2.50280822
1809,1360.653,735,284.1,271.5,0.1723,11.26795043,10.66986207,-10.71013793,0.930805602,-0.930805602,2.667465518,-2.677534483
1810,1360.5901,735.3,284.2,271.4,0.1085,11.26713684,11.12205479,-12.38794521,1.030876773,-1.030876773,2.780513698,-3.096986303
1811,1360.5955,735.4,284.2,271.3,0.0398,11.48,11.46980874,-12.82519126,1.027701585,-1.027701585,2.867452185,-3.206297815
1812,1360.6197,735.6,284.2,271.3,0.0136,10.05688736,9.499724138,-10.40027586,0.867618108,-0.867618108,2.374931035,-2.600068965
1813,1360.664,735.8,284.2,271.3,0.0281,11.05673168,10.89755216,-10.97244784,0.96794724,-0.96794724,2.72438804,-2.74311196
1814,1360.7226,735.9,284.2,271.4,0.1292,9.855165892,9.857762557,-10.99223744,0.712504746,-0.712504746,2.464440639,-2.74805936
1815,1360.7703,736.2,284.1,271.5,0.2647,9.913070916,9.595264117,-9.104735883,0.664786818,-0.664786818,2.398816029,-2.276183971
1816,1360.9684,736.6,283.9,271.7,0.2133,9.03,10.27362385,-8.276376147,0.624455235,-0.624455235,2.568405963,-2.069094037
1817,1360.9511,737,283.8,272,0.099,9.2,9.297625571,-9.402374429,0.676242543,-0.676242543,2.324406393,-2.350593607
